species_name,primary_strain,temperature_span_c,temperature_min_low_c,temperature_opt_low_c,temperature_max_high_c
Labrenzia polysiphoniae,KMM 9699,32,7,28,39
Labrenzia suaedae,YC6927T,22,15,29,37
Labrenzia suaedae,YC6927,22,15,28,37
Labrys methylaminiphilus,DSM 16812T,25,10,28,35
Labrys miyagiensis,,17,15,28,32
Labrys neptuniae,Liujia-146T,20,15,29,35
Labrys okinawensis,,17,15,28,32
Labrys okinawensis,MAFF 210191,17,15,28,32
Labrys portucalensis,F11T,21,16,30,37
Labrys portucalensis,F11,21,16,28,37
Labrys soli,DCY64,5,25,30,30
Labrys wisconsinensis,W1215-PCA4,30,10,32,40
Laceyella putida,ATCC 49853,22,36,48,58
Laceyella sediminis,RHA1T,37,28,55,65
Laceyella tengchongensis,YIM 10002,42,28,55,70
Laceyella thermophila,YIM 79486,28,37,50,65
Lachnoanaerobaculum saburreum,CCUG 28089,20,25,37,45
Lachnobacterium bovis,YZ 87,15,27,39,42
Lachnoclostridium phytofermentans,ISDg,27,15,37,42
Lachnospira pectinoschiza,150-1T,15,30,39,45
Lachnotalea glycerini,DLD10T,25,12,30,37
Lacibacter cauensis,NJ-8,17,20,28,37
Lacibacter daechungensis,H32-4T,22,15,30,37
Lacibacter nakdongensis,SS2-56T,18.5,15,30,37
Lacibacter nakdongensis,SS2-56,22,15,30,37
Lacibacterium aquatile,LTC-2T,27,10,30,37
Lacibacterium aquatile,LTC-2,27,10,20,37
Lacihabitans lacunae,HME7103T,10,20,25,30
Lacihabitans lacunae,,33,4,25,37
Lacihabitans soyangensis,HME6675,10,20,25,30
Lacimicrobium alkaliphilum,X13M-12T,36,4,25,40
Lacimonas salitolerans,TS-T30T,25,10,25,35
Lacinutrix algicola,JCM 13825T,25,0,17.5,25
Lacinutrix cladophorae,7Alg 4T,28,4,25,32
Lacinutrix copepodicola,DJ3,27,-2,1,25
Lacinutrix gracilariae,Lxc1,35,5,28,40
Lacinutrix himadriensis,CIP 110310T,16,4,18,20
Lacinutrix iliipiscaria,Th68,14,16,28,30
Lacinutrix jangbogonensis,PAMC 27137,6,4,10,10
Lacinutrix mariniflava,JCM 13824T,22,0,17.5,22
Lacinutrix undariae,W-BA8,26,4,25,30
Lacinutrix venerupis,Cmf 20.8,26,4,25,30
Lacrimispora sinapis,LMG 33655T,25,20,40,45
Lacticigenium naphtae,MIC1-18T,26,4,30,30
Lacticigenium naphtae,MIC1-18,5,30,30,35
Lactivibrio alcoholicus,JCM 17151T,15,25,37,40
Lactobacillus acetotolerans,JCM 3825,17,23,30,40
Lactobacillus algidus,M6A9,25,0,15,25
Lactobacillus allii,KCTC 21077T,12,25,30,37
Lactobacillus amylovorus,DSM 115528T,15,30,37,45
Lactobacillus apis,R4B,20,20,37,40
Lactobacillus arizonensis,NRRL B-14768,30,15,37.5,45
Lactobacillus bombi,BTLCH M1/2,27,20,37,47
Lactobacillus buchneri,DSM 20057T,35,10,30,45
Lactobacillus caviae,MOZM2T,25,20,37,45
Lactobacillus cerevisiae,TUM BP 140423000-2250,33,4,28,37
Lactobacillus colini,111144 L1T,20,25,37,45
Lactobacillus concavus,C-5-1T,32,10,37,42
Lactobacillus curieae,CCTCC M 2011381,30,15,30,45
Lactobacillus curtus,VTT E-94560,15,15,30,30
Lactobacillus cypricasei,CCUG 42961,30,15,37,45
Lactobacillus delbrueckii,,30,15,37,45
Lactobacillus delbrueckii,,35,15,37,50
Lactobacillus delbrueckii,YIT 11221,22,15,30,37
Lactobacillus diolivorans,LMG 19667,30,12,30,42
Lactobacillus durianis,LMG 19193,38,7,29,45
Lactobacillus equigenerosi,NRIC 0697,30,15,37,45
Lactobacillus faecis,AFL13-2,25,20,37,45
Lactobacillus floricola,,10,20,30,30
Lactobacillus florum,F9-1T,30,15,30,45
Lactobacillus formosensis,S215T,20,25,37,45
Lactobacillus fornicalis,TV 1010,20,20,36,40
Lactobacillus fructivorans,ATCC 8288T,15,20,25,35
Lactobacillus furfuricola,Nu27T,15,20,30,35
Lactobacillus futsaii,YM 0097,15,15,30,30
Lactobacillus garii,NCIMB 15148,28,12,30,40
Lactobacillus gigeriorum,202T,40,10,37,50
Lactobacillus gigeriorum,202,25,20,37,45
Lactobacillus hammesii,LP38,30,15,30,45
Lactobacillus hokkaidonensis,LOOC260,33,4,25,37
Lactobacillus hominis,,20,25,37,45
Lactobacillus homohiochii,ATCC 15434T,15,20,25,35
Lactobacillus hordniae,HC-1,22,15,29,37
Lactobacillus ingluviei,KR3T,17,25,37,42
Lactobacillus insicii,TMW 1.2011,37,8,30,45
Lactobacillus iwatensis,IWT246,33,4,30,37
Lactobacillus ixorae,LMG 29008T,25,15,30,40
Lactobacillus ixorae,Ru20-1,39,1,30,40
Lactobacillus kefirgranum,GCL 1701,30,15,30,45
Lactobacillus kimchicus,DCY51,30,15,37,45
Lactobacillus kimchiensis,L133T,22,15,25,37
Lactobacillus kimchii,MT-1077,30,10,30,40
Lactobacillus kisonensis,,35,10,30,45
Lactobacillus koreensis,DCY50T,38,4,30,42
Lactobacillus koreensis,DCY50,22,15,30,37
Lactobacillus kosoi,10H,21,18,27,39
Lactobacillus lindneri,KPA,15,15,22,30
Lactobacillus metriopterae,Hime 5-1,22,15,37,37
Lactobacillus micheneri,Hlig3,20,15,30,35
Lactobacillus mindensis,DSM 14500,30,15,30,45
Lactobacillus mixtipabuli,IWT30T,30,15,30,45
Lactobacillus modestisalitolerans,NB446,30,10,30,40
Lactobacillus mulieris,CECT 9755T,15,30,37,45
Lactobacillus musae,313T,12,25,30,37
Lactobacillus nantensis,LP33,20,15,32.5,35
Lactobacillus nasuensis,SU 18,35,5,30,40
Lactobacillus nasuensis,and according to Recommendation 30a of the Bacteriological Code (1990 Revision) (Lapage et al,51,2,30,53
Lactobacillus nenjiangensis,,7,30,30,37
Lactobacillus nuruki,SYF10-1aT,36,4,37,40
Lactobacillus odoratitofui,YIT 11304,15,15,30,30
Lactobacillus oryzae,SG293,41,4,30,45
Lactobacillus otakiensis,,35,10,30,45
Lactobacillus ozensis,Mizu2-1T,10,20,30,30
Lactobacillus panis,DSM 6035,15,30,37,45
Lactobacillus panisapium,Bb 2-3T,40,15,37,55
Lactobacillus pantheris,A24-2-1T,32,10,33.5,42
Lactobacillus parabrevis,LMG 11984,22,15,30,37
Lactobacillus parakefir,,30,15,30,45
Lactobacillus paraplantarum,CNRZ 1885,30,15,30,45
Lactobacillus pasteurii,1517T,15,30,37,45
Lactobacillus piscicola,B270,34,6,30,40
Lactobacillus plajomi,NB53,25,15,30,40
Lactobacillus pontis,LTH 2587,30,15,30,45
Lactobacillus porci,KCTC 21090T,35,15,37,50
Lactobacillus quenuiae,HV_6,20,15,30,35
Lactobacillus rapi,,35,10,30,45
Lactobacillus rodentium,MYMRS/TLU1,31,15,37,46
Lactobacillus rogosae,ATCC 27753,15,30,37,45
Lactobacillus rossii,CS1T,30,15,30,45
Lactobacillus saerimneri,LMG 22087T,30,15,37,45
Lactobacillus satsumensis,NRIC 0603,30,15,30,45
Lactobacillus secaliphilus,TMW 1.1309,30,15,37,45
Lactobacillus shenzhenensis,KACC 16878T,35,10,37,45
Lactobacillus silagei,IWT126,30,15,30,45
Lactobacillus silagincola,IWT5,27,10,30,37
Lactobacillus siliginis,M1-212T,17,20,30,37
Lactobacillus sobrius,,30,15,37,45
Lactobacillus sunkii,YIT 11161,20,10,30,30
Lactobacillus suntoryeus,SAT,30,15,37,45
Lactobacillus taiwanensis,FIRDI 006T,30,15,37,45
Lactobacillus terrae,KCTC 21093T,15,20,30,35
Lactobacillus terrae,KCTC 21093,30,15,30,45
Lactobacillus thermotolerans,G 35T,35,15,42,50
Lactobacillus timberlakei,HV_12,20,15,30,35
Lactobacillus versmoldensis,KU-3,29,8,30,37
Lactobacillus vespulae,DCY75,33,4,30,37
Lactobacillus wasatchensis,DSM 29958T,24,6,25,30
Lactobacillus wasatchensis,WDC04,31,6,23,37
Lactobacillus xujianguonis,CGMCC 1,17,28,40,45
Lactobacillus yonginensis,THK-V8,36,4,30,40
Lactobacilus nuruki,KACC 18726T,36,4,37,40
Lactococcus chungangensis,CAU 28,33,4,30,37
Lactococcus hodotermopsidis,JCM 33486T,10,20,30,30
Lactococcus insecticola,JCM 33485T,20,10,30,30
Lactococcus nasutitermitis,M19T,30,10,30,40
Lactococcus petauri,159469,34,6,20,40
Lactococcus reticulitermitis,Rs-Y01T,30,10,30,40
Lactococcus taiwanensis,0905C15T,17,20,30,37
Lactovum miscens,anNAG3,35,0,25,35
Lacunisphaera anatis,IG31,21,15,30,36
Lacunisphaera limnophila,IG16b,23,13,32,36
Lacunisphaera parvula,IG15,26,12,33,38
Lampropedia aestuarii,KCTC 42886T,20,15,30,35
Lampropedia cohaerens,CT6,35,20,37,55
Lampropedia hyalina,ATCC 11041,25,10,30,35
Lampropedia puyangensis,2-bin,25,15,30,40
Lapillicoccus jejuensis,R-Ac013,17,20,30,37
Larkinella bovis,M2T2B15,25,10,30,35
Larkinella harenae,15J9-9,27,15,25,42
Larkinella insperata,LMG 22510,30,10,28,40
Larkinella knui,15J6-3T6T,26,4,25,30
Larkinella ripae,KCTC 42996T,15,15,25,30
Larkinella rosea,15J16-1T3A,20,10,25,30
Larkinella soli,MIMbqt9T,35,5,30,40
Larkinella terrae,15J8-8,22,8,25,30
Larsenimonas rhizosphaerae,GH3-8T,36,4,37,40
Larsenimonas salina,M1-18,25,15,37,40
Larsenimonas suaedae,ST307T,40,5,35,45
Lawsonella clevelandensis,X1036T,10,25,35,35
Lawsonibacter asaccharolyticus,JCM 32166T,15,30,37,45
Lebetimonas acidiphila,Pd55T,38,30,50,68
Lebetimonas natsushimae,HS1857,28,35,55,63
Lechevalieria atacamensis,C61,20,20,30,40
Lechevalieria deserti,C68,20,20,30,40
Lechevalieria fradiae,Z6T,30,15,28,45
Lechevalieria nigeriaca,NJ2035,25,20,29,45
Lechevalieria rhizosphaerae,NEAU-A2,25,15,28,40
Lechevalieria roselyniae,C81,20,20,30,40
Leclercia adecarboxylata,DSM 30081T,40,4,28,44
Lederbergia citrea,LMG 31589T,30,10,30,40
Leeia oryzae,HW7T,30,10,33.5,40
Leeia oryzae,HW7,30,10,32,40
Leekyejoonella antrihumi,KCTC 39632T,20,10,30,30
Leeuwenhoekiella aequorea,LMG 22550T,33,4,25,37
Leeuwenhoekiella aestuarii,R-48165,37,4,20,41
Leeuwenhoekiella blandensis,MED 217,31,10,28,41
Leeuwenhoekiella marinoflava,LMG 1345T,33,4,21,37
Leeuwenhoekiella nanhaiensis,G18,36,4,30,40
Leeuwenhoekiella nanhaiensis,KCTC 42729T,36,4,28,40
Leeuwenhoekiella palythoae,KCTC 22020T,34,4,23,38
Leeuwenhoekiella polynyae,SOJ2014-1T,35,0,25,35
Leeuwenhoekiella polynyensis,SOJ2014-1T,35,0,25,35
Legionella bononiensis,DSM 112526T,5,32,32,37
Legionella drancourtii,LLAP12,7,25,32,32
Legionella massiliensis,LegA,7,25,32,32
Legionella norrlandica,CCUG 65936T,14,28,30,42
Legionella norrlandica,LEGN,14,28,30,42
Legionella qingyii,KCTC 15636T,17,25,35,42
Legionella steelei,IMVS-3376,5,30,35,35
Leifson marine,"ACAM 188, which was isolated by McGuire (32) from the pycnocline of Burton Lake, Vestfold Hills, Antarctica",25,0,15,25
Leifsonia aquatica,150,30,7,26,37
Leifsonia bigeumensis,KCTC 19268T,17,20,28,37
Leifsonia flava,SYP-B2174,34,1,28,35
Leifsonia ginsengi,CGMCC 4,33,4,26,37
Leifsonia kribbensis,MSL-13T,17,20,28,37
Leifsonia lichenia,2Sb,20,10,25,30
Leifsonia poae,VKM Ac-1401T,30,7,26,37
Leifsonia poae,DL89,33,4,24,37
Leifsonia psychrotolerans,LI1,34,-6,16,28
Leifsonia rubra,CMS 76r,22,0,15,22
Leifsonia soli,TG-S248,25,10,30,35
Leisingera aquaemixtae,SSK6-1,30,10,30,40
Leisingera caerulea,LMG 24369,41,4,20,45
Leisingera coralii,D5M38T,30,10,37,40
Leisingera coralii,D0M16T,25,20,28,45
Leisingera daeponensis,TF-218,38,4,37,42
Leisingera methylohalidivorans,MB2T,6,21,27,27
Leisingera nanhaiensis,LMG 24841T,41,4,25,45
Lelliottia jeotgali,PFL01,35,10,30,45
Lentibacillus amyloliquefaciens,LAM0015,30,15,35,45
Lentibacillus daqui,ZS110521T,30,20,37,50
Lentibacillus garicola,SL-MJ1,25,15,30,40
Lentibacillus halodurans,8-1T,23,22,30,45
Lentibacillus halophilus,PS11-2,32,10,37,42
Lentibacillus halophilus,JCM 12149T,27,15,37,42
Lentibacillus jeotgali,KCTC 13300T,41,4,37,45
Lentibacillus jeotgali,Grbi,35,10,37,45
Lentibacillus juripiscarius,JCM 12147T,35,10,37,45
Lentibacillus kapialis,JCM 12580T,30,15,37,45
Lentibacillus kimchii,K9,25,15,30,40
Lentibacillus lacisalsi,BH260T,25,15,31,40
Lentibacillus lacisalsi,BH260,25,15,30,40
Lentibacillus persicus,CECT 7524T,35,15,30,50
Lentibacillus populi,WD4L-1T,35,15,30,50
Lentibacillus salarius,KCTC 3911T,30,15,35,45
Lentibacillus salarius,BH139,35,15,30,50
Lentibacillus salicampi,SF-20,25,15,30,40
Lentibacillus salinarum,AHS-1T,30,15,38.5,45
Lentibacillus salinarum,AHS-1,30,15,37,45
Lentibacillus salis,BH113T,25,20,37,45
Lentibacillus sediminis,0W14T,29,16,37,45
Lentilitoribacter donghaensis,BH-4,26,4,25,30
Lentimicrobium saccharophilum,JCM 30898T,20,20,30,40
Lentisphaera araneosa,HTCC2155,21,4,16,25
Lentisphaera marina,IMCC11369,12.5,10,20,30
Lentisphaera profundi,SAORIC-696T,16,4,15,20
Lentzea albidocapillata,IMMIB D-958,17,20,30,37
Lentzea cavernae,SYSU K10001T,31,4,28,35
Lentzea chajnantorensis,H45,30,10,28,40
Lentzea flaviverrucosa,AS 4.0578,14,28,37,42
Lentzea guizhouensis,DHS C013,27,10,25,37
Lentzea jiangxiensis,FXJ1.034T,27,10,24,37
Lentzea jiangxiensis,FXJ1.034,27,10,20,37
Lentzea kristufekii,DSM 116176T,27,10,35,37
Lentzea miocenica,DSM 116177T,27,10,35,37
Lentzea pudingi,C021T,22,15,28,37
Lentzea sokolovensis,DSM 116175T,27,10,28,37
Lentzea soli,NEAU-LZC 7T,25,15,28,40
Lentzea terrae,CGMCC 4,30,15,28,45
Leptobacterium flavescens,KCTC 22160T,13,17,30,30
Leptolinea tardivitalis,JCM 12579T,25,25,37,50
Leptospira kmetyi,Bejo-Iso9T,24,13,30,37
Leptospira venezuelensis,CLM-U50T,24,13,30,37
Leptospirillum ferrooxidans,L15,35,10,30,45
Leptothrix cholodnii,LVMW 99,25,10,25,35
Leptothrix discophora,SS-1,25,10,25,35
Leucobacter alluvii,RB10,33,4,30,37
Leucobacter aridicollis,L-1,17,20,28,37
Leucobacter celer,,27,10,30,37
Leucobacter celer,NAL101T,41,4,37,45
Leucobacter chironomi,LMG 24399T,20,17,30,37
Leucobacter chromiireducens,L-9,17,20,28,37
Leucobacter chromiiresistens,JG 31T,17,25,30,42
Leucobacter corticis,2C-7,27,10,30,37
Leucobacter denitrificans,M1T8B10,22,15,30,37
Leucobacter holotrichiae,T14T,35,10,30,45
Leucobacter kyeonggiensis,F3-P9,38,4,30,42
Leucobacter luti,RF6,26,4,25,30
Leucobacter margaritiformis,A23,38,4,30,42
Leucobacter massiliensis,122RC15,20,25,37,45
Leucobacter muris,DSM 101948T,17,20,30,37
Leucobacter musarum,CBX152,20,10,30,30
Leucobacter populi,06C10-3-11,35,10,30,45
Leucobacter ruminantium,A2T,22.5,20,37,45
Leucobacter ruminantium,A2,20,25,37,45
Leucobacter triazinivorans,JW-1,38,4,28,42
Leucobacter zeae,CC-MF41T,22,15,30,37
Leuconostoc argentinum,LL76,29,10,27,39
Leuconostoc durionis,LMG 22556,30,5,30,35
Leuconostoc ficulneum,FS-1T,34,6,30,40
Leuconostoc holzapfelii,LMG 23990,27,10,30,37
Leuconostoc kimchii,IH25T,22,15,30,37
Leuconostoc mesenteroides,DSM 20241T,30,10,30,40
Leuconostoc miyukkimchii,M2,31,4,30,35
Leuconostoc oenos,ATCC 23179,10,20,22,30
Leuconostoc palmae,DSM 21144T,30,15,30,45
Leucothrix arctica,IMCC9719T,33,4,15,37
Leucothrix mucor,ATCC 25107,35,0,25,35
Leucothrix pacifica,XH122T,31,4,28,35
Leucothrix pacifica,,33,4,28,37
Leucothrix sargassi,C3212T,29,8,28,37
Levilinea saccharolytica,JCM 12578T,25,25,37,50
Lewinella agarilytica,SST-19,38,4,30,42
Lewinella agarilytica,SST-19T,33,4,30,37
Lewinella antarctica,IMCC3223T,22,3,20,25
Lewinella aquimaris,HDW-36T,31,4,25,35
Lewinella aurantiaca,KACC 21167T,35,2,30,37
Lewinella cohaerens,II-2,20,10,25,30
Lewinella lacunae,HME9359,22,15,30,37
Lewinella litorea,HSMS-39,30,10,30,40
Lewinella lutea,,15,15,25,30
Lewinella lutea,FYK2402M69,25,10,25,35
Lewinella marina,,15,15,27.5,30
Lewinella marina,MKG-38,38,4,25,42
Lewinella maritima,HME9321,27,10,30,37
Lewinella nigricans,SS-2,22,15,25,37
Lewinella persica,T-3,26,4,25,30
Lewinella xylanilytica,13-9-B8,31,4,30,35
Lichenicoccus roseus,KCTC 72321T,26,4,15,30
Lichenihabitans psoromatis,JCM 33311T,16,4,15,20
Ligilactobacillus cholophilus,JCM 36074T,15,30,40,45
Lihuaxuella thermophila,YIM 77831,37,28,50,65
Limibacillus halophilus,CAU 1121,20,20,37,40
Limibacter armeniacum,YM11-185T,20,17,27,37
Limibaculum halophilum,CAU 1123T,20,20,37,40
Limihaloglobus sulfuriphilus,DSM 100118T,20,20,37,40
Limimaricola aestuariicola,J-TF4,27,10,30,37
Limimaricola cinnabarinus,LL-001,20,15,20,35
Limimaricola litoreus,ASW11-118T,30,10,28,40
Limimaricola pyoseonensis,JJM85,26,4,25,30
Limimaricola soesokkakensis,DSSK1-5,30,10,30,40
Limimaricola variabilis,J-MR2-Y,30,10,35,40
Limimonas halophila,IA16T,20,30,40,50
Limisphaera ngatamarikiensis,NGM72.4,26,45,63,71
Limisphaera ngatamarikiensis,NGM72.4T,26,45,54,71
Limnobacter humi,UCM-39,35,15,28,50
Limnobacter litoralis,KP1-19T,40,4,38,44
Limnobacter litoralis,KP1-19,34,10,38,44
Limnobacter thiooxidans,CS-K2,34,4,30,38
Limnobaculum parvum,KACC 19186T,26,4,25,30
Limnochorda pilosa,HC45T,25,30,45,55
Limnochorda pilosa,HC45,25,30,45,55
Limnoglobus roseus,KCTC 72397T,20,10,20,30
Limnohabitans curvus,MWH-C5,30,4,21,34
Lipingzhangella halophila,EGI 80537,25,15,30,40
Lishizhenia caseinilytica,UST040201-001T,33,4,28.5,37
Lishizhenia caseinilytica,UST040201-001,33,4,27,37
Lishizhenia tianjinensis,H6T,32,4,30,36
Listeria booriae,,37,4,30,41
Listeria booriae,FSL A5-0281,37,4,30,41
Listeria costaricensis,CLIP 2016/00682,20,22,30,42
Listeria rocourtiae,CIP 109804,33,4,30,37
Listeria valentina,CIP 111799T,20,22,30,42
Listeria weihenstephanensis,WS 4560,31,3,31,34
Litoreibacter albidus,KMM 3851,33,4,25,37
Litoreibacter arenae,GA2-M15,30,5,30,35
Litoreibacter ascidiaceicola,RSS4-C1,30,4,25,34
Litoreibacter halocynthiae,P-MA1-7T,26,4,25,30
Litoreibacter janthinus,KMM 3842,33,4,25,37
Litoreibacter meonggei,MA1-1,33,4,25,37
Litoreibacter ponti,GJSW-31,31,4,30,35
Litoribacillus peritrichatus,JYr12,33,4,28,37
Litoribacter ruber,KCTC 22899T,17,20,28,37
Litoribaculum gwangyangense,GY12T,25,15,25,40
Litoribrevibacter albus,Y32,23,15,28,38
Litoribrevibacter euphylliae,Eup a-2,25,15,25,40
Litoricola lipolytica,IMCC1097,15,15,25,30
Litoricola marina,IMCC2782,22,15,25,37
Litorihabitans aurantiacus,NBRC 112290T,15,15,28,30
Litorilinea aerophila,PRI-4131,25,40,55,65
Litorimicrobium taeanense,G4,20,15,25,35
Litorimonas cladophorae,KMM 6395,31,4,25,35
Litorimonas haliclonae,MAA42T,30,4,28,34
Litorimonas taeanensis,KACC 13701T,25,15,25,40
Litorisediminicola beolgyonensis,BB-MW24,30,10,30,40
Litorisediminivivens gilvus,YSM-17,25,10,30,35
Litorivita pollutaquae,JCM 32715T,22,15,30,37
Litorivivens aequoris,KMU-37,36,4,30,40
Litorivivens lipolytica,HJTF-7,30,10,25,40
Lodderomyces beijingensis,CBS 14171,12,25,25,37
Loktanella acticola,OISW-6,26,4,25,30
Loktanella agnita,R10SW5,27,8,25,35
Loktanella litorea,DPG-5T,22,15,30,37
Loktanella maricola,DSW-18T,30,4,25,34
Loktanella marina,MDM-7T,33,4,30,37
Loktanella maritima,KMM 9530,36,4,28,40
Loktanella maritima,JCM 19807T,32,4,28,36
Loktanella ponticola,W-SW2T,26,4,25,30
Loktanella pyoseonensis,KCTC 22372T,26,4,25,30
Loktanella rosea,CIP 107851T,31,4,25,35
Longibacter salinarum,WDS2C18,30,20,40,50
Longilinea arvoryzae,KOME-1,10,30,37,40
Longilinea arvoryzae,JCM 13670T,20,45,55,65
Longimicrobium terrae,CB-286315T,23,10,25,33
Longimonas halophila,SYD6,30,20,37,50
Longimonas halophila,SYD6T,30,20,42,50
Longimycelium tulufanense,TRM 46004T,25,20,37,45
Longirhabdus pacifica,DSM 105158T,22,15,28,37
Longispora albida,K97-0003T,25,12,21,37
Longispora fulva,KZ0017T,23,10,29,33
Longispora fulva,KZ0017,23,10,28,33
Longispora urticae,NEAU-PCY-3T,27,10,28,37
Longivirga aurantiaca,CGMCC 4,38,4,28,42
Lonsdalea populi,,36,8,32,44
Lower limit,of Pseudomonas halophila and transferred to the genus Halomonas as Halomonas utahensis nom,15,20,28,35
Lujinxingia litoralis,KCTC 42951T,22,20,37,42
Lumbricus rubellus,71·8 mol%,19,19,30,38
Luminiphilus syltensis,Ivo14,20,12,28,32
Lunatimonas lonarensis,AK24,12,25,30,37
Lunatimonas salinarum,JC344T,10,25,30,35
Lutaonella thermophila,CC-MHSW-2T,45,10,42.5,55
Lutaonella thermophila,CC-MHSW-2,30,25,40,55
Luteibacter anthropi,CCUG 25036,22,15,28,37
Luteibacter jiangsuensis,JW-64-1,38,4,25,42
Luteibacter pinisoli,MAH-14,25,10,28,35
Luteibaculum oceani,CC-AMWY-103B,15,20,30,35
Luteimicrobium subarcticum,R19-04T,25,10,28,35
Luteimicrobium xylanilyticum,W-15T,22,15,25,37
Luteimonas abyssi,DSM 25880T,33,4,28,37
Luteimonas aestuarii,B9,25,15,34,40
Luteimonas aquatica,RIB1-20,22,15,25,37
Luteimonas arsenica,26-35,32,10,30,42
Luteimonas composti,CC-YY255T,25,20,30,45
Luteimonas cucumeris,Y4T,20,20,30,40
Luteimonas galliterrae,KCTC 82443T,17,20,28,37
Luteimonas gilva,KCTC 72593T,32,10,32,42
Luteimonas huabeiensis,HB2,25,20,30,45
Luteimonas lumbrici,KCTC 62979T,35,10,30,45
Luteimonas lutimaris,G3T,25,15,30,40
Luteimonas marina,FR1330,22,20,30,42
Luteimonas notoginsengisoli,SYP-B804T,25,15,30,40
Luteimonas notoginsengisoli,SYP-B804,25,15,28,40
Luteimonas padinae,CDR SL 15T,25,15,32.5,40
Luteimonas pelagia,CC-VAM-7T,17,20,30,37
Luteimonas rhizosphaerae,4-12T,38,4,30,42
Luteimonas soli,Y2T,27,10,30,37
Luteimonas terrae,THG-MD21T,41,4,25,45
Luteimonas terricola,DSM 22344T,24,1,15,25
Luteimonas terricola,BZ92r,24,1,10,25
Luteimonas vadosa,KMM 9005,34,5,35,39
Luteimonas yindakuii,S-1072T,36,4,28,40
Luteipulveratus flavus,YIM 133132T,10,25,25,35
Luteipulveratus halotolerans,C296001,25,15,20,40
Luteipulveratus mongoliensis,MN07-A0370,20,10,24,30
Luteipulveratus mongoliensis,MN07-A0370T,20,10,20,30
Luteitalea pratensis,HEG_-6_39T,36,0,25,36
Luteitalea pratensis,HEG_亅6_39,36,0,20,36
Luteivirga sdotyamensis,PIII.02T,20,15,25,35
Luteococcus japonicus,IFO 12422,26,12,27,38
Luteococcus sediminum,DSM 27277T,33,4,28,37
Luteolibacter algae,A5J-41-2,33,4,20,37
Luteolibacter arcticus,MC 3726,33,4,25,37
Luteolibacter flavescens,KCTC 52361T,15,20,25,35
Luteolibacter gellanilyticus,DSM 28998T,29,4,25,33
Luteolibacter luojiensis,DR4-30T,24,4,20,28
Luteolibacter pohnpeiensis,A4T-83,17,20,30,37
Luteolibacter yonseiensis,EBTL01,20,10,30,30
Lutibacter aestuarii,MA-My1T,33,4,30,37
Lutibacter agarilyticus,KYW566,8,20,25,28
Lutibacter citreus,1KV19T,31,4,30,35
Lutibacter flavus,IMCC1507,33,4,30,37
Lutibacter holmesii,KMM 6277,27,4,23,31
Lutibacter litoralis,JCM 13034T,25,5,25,30
Lutibacter litorisediminis,OITF-20,21,4,25,25
Lutibacter maritimus,S7-2T,33,4,25,37
Lutibacter oricola,UDC377,24,8,25,32
Lutibacter profundi,LP1T,21,13,23,34
Lutibaculum baratangense,AMV1,12,25,33.5,37
Lutibaculum baratangense,KCTC 22669T,12,25,30,37
Lutibaculum pontilimi,GH1-34T,25,20,37,45
Lutimaribacter litoralis,KU5D5,25,10,20,35
Lutimaribacter marinistellae,SF-12T,23,15,30,38
Lutimaribacter pacificus,W11-2B,31,10,25,41
Lutimaribacter saemankumensis,SMK-117,35,10,30,45
Lutimonas halocynthiae,RSS3-C1,24,4,20,28
Lutimonas saemankumensis,SMK-142,29,4,25,33
Lutimonas vermicola,IMCC1616,34,3,25,37
Lutimonas zeaxanthinifaciens,YSD2104T,10,20,30,30
Lutispora thermophila,NBRC 102133T,20,40,55,60
Lysinibacillus acetophenoni,JC23T,15,25,35,40
Lysinibacillus alkaliphilus,OMN17T,25,20,30,45
Lysinibacillus alkalisoli,Y2A20,41,4,30,45
Lysinibacillus antri,K30002T,12,28,37,40
Lysinibacillus boronitolerans,10aT,29,16,37,45
Lysinibacillus chungkukjangi,2RL3-2,35,10,30,45
Lysinibacillus composti,NCCP-36,35,10,28,45
Lysinibacillus contaminans,FSt3A,30,15,30,45
Lysinibacillus cresolivorans,SC03T,15,25,35,40
Lysinibacillus endophyticus,C9,30,20,30,50
Lysinibacillus fluoroglycofenilyticus,cmg86,25,20,30,45
Lysinibacillus fusiformis,DSM 2898T,46,4,37,50
Lysinibacillus halotolerans,LAM612T,40,15,35,55
Lysinibacillus irui,NCIMB 15452T,40,10,37,50
Lysinibacillus jejuensis,N2-5,27,10,30,37
Lysinibacillus louembei,DSM 25583T,38,10,37,48
Lysinibacillus macroides,LMG 18474,25,20,30,45
Lysinibacillus manganicus,Mn1-7,46,4,37,50
Lysinibacillus mangiferihumi,M-GX18,35,10,28,45
Lysinibacillus massiliensis,KCTC 13178T,32,10,30,42
Lysinibacillus massiliensis,4400831,20,25,30,45
Lysinibacillus meyeri,DSM 25057T,32,10,30,42
Lysinibacillus odysseyi,DSM 18869T,32,10,30,42
Lysinibacillus odysseyi,34hs-1,17,25,30,42
Lysinibacillus pakistanensis,NCCP-54,35,10,28,45
Lysinibacillus parviboronicapiens,NBRC 103144T,41,4,30,45
Lysinibacillus parviboronicapiens,BAM-582,27,10,30,37
Lysinibacillus sinduriensis,BLB-1,30,15,30,45
Lysinibacillus sphaericus,DSM 2898T,46,4,37,50
Lysinibacillus tabacifolii,K3514,32,8,28,40
Lysinibacillus telephonicus,S5H2222T,45,10,37,55
Lysinibacillus varians,GY32T,30,15,35,45
