species_name,source_file,growth_temperature_combined,raw_output_combined,Tmin_list,Tmax_list,Topt_list,Tmin,Tmax,Topt
Kangiella geojedonensis,"Yoon-2012-Kangiella geojedonensis sp nov., iso",30 | Optimal growth at 30°C; growth at 10-40°C; no growth at 4°C or 45°C,,10.0,40.0,30.0,10,40,30
Kangiella koreensis,"Yoon-2004-Kangiella koreensis gen. nov., sp no","4-43°C, optimal 30-37°C | 30-37 °C optimal, growth at 4 °C, maximum 43 °C",,4.0,43.0,,4,43,
Kangiella marina,Jean-2012-Kangiella taiwanensis sp nov and Kan,"25-30°C | 15-40°C, optimum 25-30°C",,15.0,40.0,25.0,15,40,25
Kangiella profundi,"Xu-2015-Kangiella profundi sp nov., isolated f","37-42 °C (optimum) | Optimal growth occurs at 37-42°C; growth occurs at 10 and 50°C, but not at 4 or 53°C",,10.0,50.0,,10,50,
Kangiella sediminilitoris,"Lee-2013-Kangiella sediminilitoris sp nov., is","30-37°C | Optimal growth occurs at 30-37°C; growth occurs at 10 and 40°C, but not at 4 or 45°C",,10.0,40.0,,10,40,
Kangiella spongicola,"Ahn-2011-Kangiella spongicola sp. nov., a halo",10-49 °C,,10.0,49.0,,10,49,
Kangiella taiwanensis,Jean-2012-Kangiella taiwanensis sp nov and Kan,"25-30°C | 15-40°C, optimum 25-30°C",,15.0,40.0,25.0,15,40,25
KeC-11T,"Inoue-2011-Halomarina oriensis gen. nov., sp",20-42°C (optimum 37°C),,20.0,42.0,37.0,20,42,37
Keratinibaculum paraultunense,"Ma-2017-Defluviitalea raffinosedens sp nov., a",thermophilic,,,,,,,
Keratinibaculum paraultunense,"Wang-2018-Lactobacillus panisapium sp nov., fr",thermophilic,,,,,,,
Kerstersia gyiorum,"Coenye-2003-Kerstersia gyiorum gen. nov., sp n",37 | 28-42°C,,28.0,42.0,37.0,28,42,37
Kerstersia similis,"Vandamme-2012-Kerstersia similis sp nov., isol",28-42 °C,,28.0,42.0,,28,42,
Ketogulonigenium robustum,Urbance-2001-Taxonomic characterization of Ket,28-30 °C | 29-31 | 27-31 °C,,27.0,31.0,,27,31,
Ketogulonigenium vulgare,Urbance-2001-Taxonomic characterization of Ket,28-30 °C | 25-30 | 27-31 °C,,25.0,31.0,,25,31,
Kibdelosporangium lantanae,"Li-2015-Kibdelosporangium lantanae sp nov., is",28-30 °C | 20-37°C (optimal 28°C),,20.0,37.0,28.0,20,37,28
Kibdelosporangium metalli,"Cao-2017-Kibdelosporangium metalli sp nov., is","20-40°C, optimum 28°C",,20.0,40.0,28.0,20,40,28
Kibdelosporangium metalli sp. nov.,"Cao-2017-Kibdelosporangium metalli sp nov., is",20-40°C,,20.0,40.0,,20,40,
Kiloniella antarctica,"Si-2017-Kiloniella antarctica sp nov., isolate",0-30°C (optimum 25°C),,0.0,30.0,25.0,0,30,25
Kiloniella laminariae,"Wiese-2009-Kiloniella laminariae gen. nov., sp",4-40 °C (optimum 25 °C) | 4-40 °C (optimal at 25 °C),,4.0,40.0,25.0,4,40,25
Kiloniella spongiae,"Yang-2015-Kiloniella spongiae sp nov., isolate",11-31 °C (optimum 25 °C),,11.0,31.0,25.0,11,31,25
Kiloniella spongiae sp. nov.,"Yang-2015-Kiloniella spongiae sp nov., isolate",11-31°C (optimum 25°C),,11.0,31.0,25.0,11,31,25
Kineococcus aurantiacus,"Yokota-1993-Kineococcus-Aurantiacus Gen-Nov, S","9 to 36°C, optimum 28°C | 9-37°C (optimum 28°C)",,9.0,36.0,28.0,9,36,28
Kineococcus aureolus,Xu-2017-Kineococcus terrestris sp nov and Kine,10-45°C (optimum 25-35°C),,10.0,45.0,30.0,10,45,30
Kineococcus aureolus sp. nov.,Xu-2017-Kineococcus terrestris sp nov and Kine,10-45°C (optimum 25-35°C),,10.0,45.0,,10,45,
Kineococcus gynurae,"Duangmal-2008-Kineococcus gynurae sp nov., iso",14-34°C (optimum 25-28°C) | 14-34,,14.0,34.0,26.5,14,34,26.5
Kineococcus gypseus,"Li-2015-Kineococcus gypseus sp nov., isolated",20-35 °C (optimum 30 °C) | 20-35,,20.0,35.0,30.0,20,35,30
Kineococcus mangrovi,"Duangmal-2016-Kineococcus mangrovi sp nov., is",17-32 °C | 20-32°C (optimum),,17.0,32.0,,17,32,
Kineococcus marinus,"Lee-2006-Kineococcus marinus sp nov., isolated",30 | 4-37 °C with optimum at 30 °C,,4.0,37.0,30.0,4,37,30
Kineococcus marinus,"Liu-2009-Kineococcus xinjiangensis sp nov., is",4-37°C,,4.0,37.0,,4,37,
Kineococcus radiotolerans,"Liu-2009-Kineococcus xinjiangensis sp nov., is",11-41°C,,11.0,41.0,,11,41,
Kineococcus radiotolerans,Phillips-2002-Kineococcus radiotolerans sp nov,11-41 °C | 11 to 41 °C,,11.0,41.0,,11,41,
Kineococcus rhizosphaerae,"Lee-2009-Kineococcus rhizosphaerae sp nov., is",10-37 °C,,10.0,37.0,,10,37,
Kineococcus terrestris,Xu-2017-Kineococcus terrestris sp nov and Kine,5-45°C (optimum 25-35°C),,5.0,45.0,30.0,5,45,30
Kineococcus terrestris sp. nov.,Xu-2017-Kineococcus terrestris sp nov and Kine,5-45°C (optimum 25-35°C),,5.0,45.0,30.0,5,45,30
Kineococcus xinjiangensis,"Liu-2009-Kineococcus xinjiangensis sp nov., is",14-40 °C (optimum 37 °C) | 14-40°C,,14.0,40.0,37.0,14,40,37
Kineosphaera limosa,"Liu-2002-Kineosphaera limosa gen. nov., sp nov",10-35 °C (optimum 30 °C) | 10-35°C (optimum 30°C),,10.0,35.0,30.0,10,35,30
Kineosporia babensis,"Sakiyama-2009-Kineosporia babensis sp nov., is",28 | 10-28 °C,,10.0,28.0,,10,28,
Kineosporia mesophila,"Li-2009-Kineosporia mesophila sp nov., isolate",28 °C | 10-32°C,,10.0,32.0,28.0,10,32,28
Kineosporia mikuniensis,Kudo-1998-Description of four new species of t,28,,,,28.0,,,28
Kineosporia mikuniensis sp. nov.,Kudo-1998-Description of four new species of t,Mesophilic,,,,,,,
Kineosporia rhamnosa,Kudo-1998-Description of four new species of t,28,,,,28.0,,,28
Kineosporia rhamnosa sp. nov.,Kudo-1998-Description of four new species of t,Mesophilic,,,,,,,
Kineosporia rhizophila,Kudo-1998-Description of four new species of t,28,,,,28.0,,,28
Kineosporia rhizophila sp. nov.,Kudo-1998-Description of four new species of t,Mesophilic,,,,,,,
Kineosporia succinea,Kudo-1998-Description of four new species of t,28,,,,28.0,,,28
Kineosporia succinea sp. nov.,Kudo-1998-Description of four new species of t,Mesophilic,,,,,,,
Kineothrix alysoides,"Haas-2017-Kineothrix alysoides, gen. nov., sp","35-40°C | 15 to 40°C, optimal 35 to 40°C",,15.0,40.0,37.5,15,40,37.5
Kingella denitrificans,Snell-1976-Transfer of Some Saccharolytic Mora,37°C | 30 and 37°C,,30.0,37.0,,30,37,
Kingella indologenes,Snell-1976-Transfer of Some Saccharolytic Mora,"37°C | 22, 30 and 37°C",,22.0,37.0,30.0,22,37,30
Kingella kingae,Henriksen-1976-Transfer of Moraxella-Kingae Ki,mesophilic,,,,,,,
Kingella negevensis,El Houmami-2017-Isolation and characterization,"29-37°C, optimal at 37°C | 37°C",,29.0,37.0,37.0,29,37,37
Kingella orale,Dewhirst-1993-Phylogeny of Species in the Fami,37,,,,37.0,,,37
Kinneretia asaccharophila,Gomila-2010-Kinneretia asaccharophila gen. nov,20-37°C | 20-37 °C,,20.0,37.0,,20,37,
Kinoethrix alysoides,"Haas-2017-Kineothrix alysoides, gen. nov., sp","15-40°C, optimum 40°C",,15.0,40.0,40.0,15,40,40
Kistimonas asteriae,"Choi-2010-Kistimonas asteriae gen. nov., sp no","15-30°C (optimal 25°C) | 15-30°C (optimal 25°C), no growth at 4, 10, 37 or 42°C",,15.0,30.0,25.0,15,30,25
Kistimonas scapharcae,"Lee-2012-Kistimonas scapharcae sp nov., isolat",10-45 °C (optimum 30-37 °C),,10.0,45.0,,10,45,
Kistimonas scapharcae sp. nov.,"Lee-2012-Kistimonas scapharcae sp nov., isolat",10-45 °C (optimum 30-37 °C),,10.0,45.0,,10,45,
Kitasatospora arboriphila,Groth-2004-Five novel Kitasatospora species fr,28 | 15-40°C (optimum 28-32°C),,15.0,40.0,30.0,15,40,30
Kitasatospora azatica,Zhang-1997-A proposal to revive the genus Kita,15 to 42°C,,15.0,42.0,,15,42,
Kitasatospora cheerisanensis,Chung-1999-Kitasatospora cheerisanensis sp. no,28 | 20-37°C (optimum 25-30°C),,20.0,37.0,,20,37,
Kitasatospora cochleata,Zhang-1997-A proposal to revive the genus Kita,15 to 42°C,,15.0,42.0,,15,42,
Kitasatospora gansuensis,Groth-2004-Five novel Kitasatospora species fr,28 | 6-32 °C (optimum 25-28 °C),,6.0,32.0,25.0,6,32,25
Kitasatospora kifunensis,Groth-2003-Kitasatospora putterlickiae sp nov,10-32°C,,10.0,32.0,,10,32,
Kitasatospora nipponensis,Groth-2004-Five novel Kitasatospora species fr,28 | 10-32 °C (optimum 25-28 °C),,10.0,32.0,26.5,10,32,26.5
Kitasatospora paracochleata,Zhang-1997-A proposal to revive the genus Kita,15 to 42°C,,15.0,42.0,,15,42,
Kitasatospora paranensis,Groth-2004-Five novel Kitasatospora species fr,28 | 10-37 °C (optimum 25-28 °C),,10.0,37.0,25.0,10,37,25
Kitasatospora putterlickiae,Groth-2003-Kitasatospora putterlickiae sp nov,28 | 35°C | 10-37°C (optimum 28-32°C),,10.0,37.0,30.0,10,37,30
Kitasatospora terrestris,Groth-2004-Five novel Kitasatospora species fr,28 | 15-40 °C (optimum 28-32 °C),,15.0,40.0,30.0,15,40,30
Kitasatospora viridis,"Liu-2005-Kitasatospora viridis sp nov., a nove",10-37 °C,,10.0,37.0,,10,37,
Klebsiella granulomatis,Carter-1999-Phylogenetic evidence for reclassi,37,,,,37.0,,,37
Klebsiella quasipneumoniae,Brisse-2014-Description of Klebsiella quasipne,"11°C, 37°C and 41°C",,11.0,41.0,37.0,11,41,37
Klebsiella singaporensis,"Li-2004-Klebsiella singaporensis sp nov., a no","30°C (optimal), able to grow at 10°C | 10°C | 30",,10.0,,30.0,10,,30
Klebsiella terrigena,"Izard-1981-Klebsiella-Terrigena, a New Species","30°C for DNA preparation, 37°C for protein electrophoresis | 30 and 37°C but not at 41°C",,,41.0,30.0,,41,30
Klebsiella trevisanii,Ferragut-1983-Klebsiella-Trevisanii - a New Sp,4-41°C | 4°C | 41°C,,4.0,41.0,,4,41,
Klugiella xanthotipulae,"Cook-2008-Klugiella xanthotipulae gen. nov., s",4-30 °C (optimum 28 °C),,4.0,30.0,28.0,4,30,28
Kluyvera intermedia,Pavan-2005-Phylogenetic relationships of the g,35°C | 30 and 37 °C,,30.0,37.0,35.0,30,37,35
Knoellia aerolata,"Weon-2007-Knoellia aerolata sp nov., isolated",5-35°C (optimum 30°C),,5.0,35.0,30.0,5,35,30
Knoellia flava,"Yu-2012-Knoellia flava sp nov., isolated from",28 | 4-37 °C (optimum 28 °C),,4.0,37.0,28.0,4,37,28
Knoellia locipacati,"Shin-2012-Knoellia locipacati sp nov., from so",10-37°C (optimal 30°C) | 10-37 °C (optimum 30 °C),,10.0,37.0,30.0,10,37,30
Knoellia sinensis,"Groth-2002-Knoellia sinensis gen. nov., sp nov",28 | 28 °C,,,,28.0,,,28
Knoellia subterranea,"Groth-2002-Knoellia sinensis gen. nov., sp nov",28 | 28-37 °C,,28.0,37.0,,28,37,
Kocuria aegyptia,"Li-2006-Kocuria aegyptia sp nov., a novel acti",4-40°C (optimum 28°C) | 20-40°C (optimum 28°C),,"4.0, 20.0",40.0,28.0,4,40,28
Kocuria arsenatis,"Roman-Ponce-2016-Kocuria arsenatis sp nov., an","20-44°C in LB, 20-37°C in ISP4 medium, optimum 28-37°C",,20.0,44.0,,20,44,
Kocuria arsenatis sp. nov.,"Roman-Ponce-2016-Kocuria arsenatis sp nov., an",28,,,,28.0,,,28
Kocuria carniphila,Tvrzova-2005-Reclassification of strain CCM 13,28-37 °C,,28.0,37.0,,28,37,
Kocuria dechangensis,"Wang-2015-Kocuria dechangensis sp nov., an act",4-50°C (optimum 35°C) | 4-50 °C (optimum 35 °C),,4.0,50.0,35.0,4,50,35
Kocuria flava,Zhou-2008-Kocuria flava sp nov and Kocuria tur,28-45 °C | 30-45,,28.0,45.0,,28,45,
Kocuria gwangalliensis,"Seo-2009-Kocuria gwangalliensis sp nov., an ac",10-37°C (optimal 27°C),,10.0,37.0,27.0,10,37,27
Kocuria halotolerans,"Tang-2009-Kocuria halotolerans sp nov., an act",4-45°C (optimal 37°C) | 10-37°C (optimal 28-37°C),,4.0,45.0,37.0,4,45,37
Kocuria indica,"Dastager-2014-Kocuria indica sp nov., isolated",15-37°C (optimum 30-37°C) | 10-45 °C (optimum 28-30 °C),,15.0,37.0,30.0,15,37,30
Kocuria marina,"Kim-2004-Kocuria marina sp. nov., a novel acti",4-43°C | 4-43 °C,,4.0,43.0,,4,43,
Kocuria oceani,"Zhang-2017-Kocuria oceani sp nov., isolated fr",2-37°C (optimal 16-28°C) | 4-40°C (optimum 25-28°C),,"2.0, 4.0","37.0, 40.0","16.0, 25.0",2,40,20.5
Kocuria palustris,Kovacs-1999-Kocuria palustris sp. nov. and Koc,28 | No growth above 30°C,,,30.0,28.0,,30,28
Kocuria pelophila,"Hamada-2016-Kocuria pelophila sp nov., an acti",15-37°C (optimum 28°C),,15.0,37.0,28.0,15,37,28
Kocuria pelophila sp. nov.,"Hamada-2016-Kocuria pelophila sp nov., an acti",15-37°C (optimum 28°C),,15.0,37.0,28.0,15,37,28
Kocuria polaris,"Reddy-2003-Kocuria polaris sp nov., an orange-","5°C | 5-30°C, optimum at 20°C",,5.0,30.0,20.0,5,30,20
Kocuria rhizophila,Kovacs-1999-Kocuria palustris sp. nov. and Koc,28 | No growth above 40°C,,,40.0,28.0,,40,28
Kocuria salina,"Camacho-2017-Kocuria salina sp nov., an actino",28 | 5-40°C,,5.0,40.0,28.0,5,40,28
Kocuria salsicia,"Yun-2011-Kocuria salsicia sp. nov., isolated f",15-37°C (optimum 30-37°C),,15.0,37.0,,15,37,
Kocuria turfanensis,Zhou-2008-Kocuria flava sp nov and Kocuria tur,30-40 °C | 30-40,,30.0,40.0,,30,40,
Kordia antarctica,"Baek-2013-Kordia antarctica sp nov., isolated",20 °C (optimal) | 4-30 °C (optimum 20 °C),,4.0,30.0,20.0,4,30,20
Kordia aquimaris,"Hameed-2013-Kordia aquimaris sp nov., a zeaxan",10-40°C (optimum 30°C) | 20-35 °C (optimum 30 °C),,10.0,40.0,30.0,10,40,30
Kordia periserrulae,"Choi-2011-Kordia periserrulae sp. nov., isolat",4-42°C (optimum 30°C) | 4-37 °C (optimum 30 °C),,4.0,42.0,30.0,4,42,30
Kordia ulvae,"Qi-2016-Kordia ulvae sp nov., a bacterium isol",15-37°C | 15-37°C (optimum 30°C),,15.0,37.0,30.0,15,37,30
Kordia zhangzhouensis,"Du-2015-Kordia zhangzhouensis sp nov., isolate",15-38°C (optimum 28-35°C) | 15-38 °C (optimum 28-35 °C),,15.0,38.0,,15,38,
Kordia zosterae,"Kim-2017-Kordia zosterae sp nov., isolated fro","4-37°C, optimal 25-30°C | 10-35°C (optimum 25-30°C)",,4.0,37.0,25.0,4,37,25
Kordiimonas aquimaris,Yang-2013-Description of Kordiimonas aquimaris,10.5-35.0 °C (optimum 20 °C) | 10.5-35 °C (optimum 20 °C),,10.5,35.0,20.0,10.5,35,20
Kordiimonas gwangyangensis,Kwon-2005-Kordiimonas gwangyangensis gen. nov,17-44°C (optimum 37-40°C) | 17-44°C (optimal 37-40°C),,17.0,44.0,,17,44,
Kordiimonas lacus,"Xu-2011-Kordiimonas lacus sp. nov., isolated f",4-48°C (optimal 35°C) | 10-43°C (optimum 30-37°C),,"4.0, 10.0","43.0, 48.0",35.0,4,48,35
Kordiimonas lipolytica,"Wu-2016-Kordiimonas lipolytica sp nov., isolat",15-45°C | 15-45°C (optimum 30°C),,15.0,45.0,30.0,15,45,30
Kordiimonas pumila,"Ju-2018-Kordiimonas pumila sp nov., isolated f",10-37°C (optimum 28°C),,10.0,37.0,28.0,10,37,28
Koreibacter algae,"Lee-2010-Koreibacter algae gen. nov., sp nov",4-40°C (optimal 30°C) | 10-37 °C (optimum 25-30 °C),,"4.0, 10.0","37.0, 40.0",30.0,4,40,30
Kosakonia oryzendophytica,Li-2016-Reclassification of Enterobacter oryzi,30°C,,,,30.0,,,30
Kosakonia oryziphila,Li-2016-Reclassification of Enterobacter oryzi,30°C,,,,30.0,,,30
Koserella trabulsii,Kosako-1987-Yokenella-Regensburgei and Koserel,36 ± 1°C,,,,36.0,,,36
Kosmotoga arenicorallina,Itoh-2016-Athalassotoga saccharophila gen. nov,thermophilic,,,,,,,
Kosmotoga olearia,"DiPippo-2009-Kosmotoga olearia gen. nov., sp n","20-80°C (optimum 65°C) | 20-80°C, optimum at 65°C | 65 °C optimum, growth at 37 °C (doubling time 175 min), growth to 20 °C | 20-80 °C",,20.0,80.0,65.0,20,80,65
Kosmotoga olearia,Itoh-2016-Athalassotoga saccharophila gen. nov,thermophilic,,,,,,,
Kozakia baliensis,"Lisdiyanti-2002-Kozakia baliensis gen. nov., s",30,,,,30.0,,,30
Kribbella aluminosa,"Carlsohn-2007-Kribbella aluminosa sp nov., iso",28 | 20-37°C,,20.0,37.0,28.0,20,37,28
Kribbella amoyensis,"Xu-2012-Kribbella amoyensis sp nov., isolated",10-37 °C (optimum 28 °C),,10.0,37.0,28.0,10,37,28
Kribbella amoyensis sp. nov.,"Xu-2012-Kribbella amoyensis sp nov., isolated",28,,,,28.0,,,28
Kribbella catacumbae,Urzi-2008-Kribbella catacumbae sp nov and Krib,28 | 10-30 °C,,10.0,30.0,28.0,10,30,28
Kribbella deserti,"Sun-2017-Kribbella deserti sp nov., isolated f",10-40°C (optimum 30°C),,10.0,40.0,30.0,10,40,30
Kribbella endophytica,"Kaewkla-2013-Kribbella endophytica sp nov., an",27 | 15-27 °C,,15.0,27.0,,15,27,
Kribbella ginsengisoli,"Cui-2010-Kribbella ginsengisoli sp nov., isola",4-45°C (optimal 30°C) | 8-37,,4.0,45.0,30.0,4,45,30
Kribbella hippodromi,"Everest-2008-Kribbella hippodromi sp nov., iso","20, 30 and 37 °C",,20.0,37.0,30.0,20,37,30
Kribbella italica,Everest-2015-Description of Kribbella italica,"30 °C | 20-30°C (optimal 30°C), not at 37°C",,20.0,30.0,30.0,20,30,30
Kribbella jejuensis,Song-2004-Kribbella solani sp nov and Kribbell,28 °C | 28-37 °C,,28.0,37.0,28.0,28,37,28
Kribbella karoonensis,Kirby-2006-Kribbella karoonensis sp nov and Kr,20-37 °C,,20.0,37.0,,20,37,
Kribbella mirabilis,"Li-2015-Kribbella mirabilis sp nov., isolated",28-30 °C | 15-30 °C (optimum 28-30 °C),,15.0,30.0,29.0,15,30,29
Kribbella pittospori,"Kaewkla-2016-Kribbella pittospori sp nov., an",27,,,,27.0,,,27
Kribbella sancticallisti,Urzi-2008-Kribbella catacumbae sp nov and Krib,28 | 10–37 °C,,10.0,37.0,28.0,10,37,28
Kribbella solani,Song-2004-Kribbella solani sp nov and Kribbell,28-30 °C,,28.0,30.0,,28,30,
Kribbella swartbergensis,Kirby-2006-Kribbella karoonensis sp nov and Kr,20-45 °C,,20.0,45.0,,20,45,
Kribbella swartbergensis sp. nov.,Kirby-2006-Kribbella karoonensis sp nov and Kr,45°C,,,,45.0,,,45
Kribbia dieselivorans,"Jung-2006-Kribbia dieselivorans gen. nov., sp","30°C (routine cultivation); growth measured at various temperatures from 4 to 50°C | 8-42°C, optimum 30°C",,8.0,42.0,30.0,8,42,30
Krokinobacter diaphorus,"Khan-2006-Krokinobacter gen nov, with three no",15-25°C | 20°C (optimal),,15.0,25.0,20.0,15,25,20
Krokinobacter eikastus,"Khan-2006-Krokinobacter gen nov, with three no",15-25°C | 20°C (optimal),,15.0,25.0,20.0,15,25,20
Krokinobacter genikus,"Khan-2006-Krokinobacter gen nov, with three no",15-25°C | 20°C (optimal),,15.0,25.0,20.0,15,25,20
Kroppenstedtia guangzhouensis,Yang-2013-Kroppenstedtia guangzhouensis sp nov,30-60 °C | 30-60 °C (optimum 50 °C),,30.0,60.0,50.0,30,60,50
Kryptousia macronema,Alvarenga-2017-Kryptousia macronema gen. nov,25±1°C,,,,25.0,,,25
Kryptousia microlepis,Alvarenga-2017-Kryptousia macronema gen. nov,25±1°C,,,,25.0,,,25
Kurtzmanomyces nectairii,Kurtzman-1990-DNA Relatedness among Species of,25°C,,,,25.0,,,25
Kushneria aurantia,Sanchez-Porro-2009-Description of Kushneria au,20-40°C (optimal growth at 37°C) | 20-40 | 20-40 °C (optimally at 37 °C),,20.0,40.0,37.0,20,40,37
Kushneria konosiri,"Yun-2017-Kushneria konosiri sp nov., isolated",10-37°C,,10.0,37.0,,10,37,
Kushneria sinocarnis,"Zou-2010-Kushneria sinocarnis sp nov., a moder",4-42°C (optimum 37°C) | 4.0-42.0 °C (optimum 37 °C),,4.0,42.0,37.0,4,42,37
Kutzneria buriramensis,Suriyachadkun-2013-Kutzneria buriramensis sp n,"28°C (tested), good growth between 25-30°C | 25-37 °C",,25.0,37.0,28.0,25,37,28
Kutzneria chonburiensis,Chanama-2015-Kutzneria chonburiensis sp nov,25-30 °C (optimal) | 20-37°C (optimum 25-30°C),,20.0,37.0,25.0,20,37,25
Kytococcus schroeteri,"Becker-2002-Kytococcus schroeteri sp nov., a n",37 | 27-43°C (optimum 37°C),,27.0,43.0,37.0,27,43,37
L. tunisiensis sp. nov.,Campocasso-2012-Legionella tunisiensis sp nov,"25, 28, 35 and 37 °C",,25.0,37.0,,25,37,
LLAP-1,"Adeleke-2001-Legionella drozanskii sp nov., Le",35 °C,,,,35.0,,,35
LLAP-10,"Adeleke-2001-Legionella drozanskii sp nov., Le",35 °C,,,,35.0,,,35
LLAP-6,"Adeleke-2001-Legionella drozanskii sp nov., Le",35 °C,,,,35.0,,,35
LLAP-7,"Adeleke-2001-Legionella drozanskii sp nov., Le",35 °C,,,,35.0,,,35
LLAP-9,"Adeleke-2001-Legionella drozanskii sp nov., Le",35 °C,,,,35.0,,,35
Labedaea rhizosphaerae,"Lee-2012-Labedaea rhizosphaerae gen. nov., sp",4-42°C (optimal 30°C) | 25-42°C (optimum 30-37°C),,4.0,42.0,30.0,4,42,30
Labedella gwakjiensis,"Lee-2007-Labedella gwakjiensis gen. nov., sp n",4-45°C (good growth at 30°C) | 10-37°C,,4.0,45.0,30.0,4,45,30
Labilibacter aurantiacus,"Lu-2017-Labilibacter aurantiacus gen. nov., sp",4-37 (28) | 4-37°C (optimum 28°C),,4.0,37.0,28.0,4,37,28
Labilithrix luteola,Yamamoto-2014-Vulgatibacter incomptus gen. nov,15-30°C,,15.0,30.0,,15,30,
Labrenzia alexandrii,Biebl-2007-Description of Labrenzia alexandrii,"up to 33°C (optimum 26°C) | 15-34°C, optimum at 26°C | 15 to 34 °C (optimum 26 °C)",,15.0,34.0,26.0,15,34,26
Labrenzia salina,"Camacho-2016-Labrenzia salina sp nov., isolate",15-40°C | 15 to 40°C,,15.0,40.0,,15,40,
Labrenzia suaedae,"Bibi-2014-Labrenzia suaedae sp nov., a marine",15-37°C (optimum 28-30°C) | 15-37 °C (optimum 28-30 °C),,15.0,37.0,29.0,15,37,29
Labrys miyagiensis,Islam-2007-Labrys okinawensis sp nov and Labry,28 | 15-32 °C,,15.0,32.0,28.0,15,32,28
Labrys neptuniae,"Chou-2007-Labrys neptuniae sp nov., isolated f",25-35 °C (optimal 28-30 °C) | 15-35°C (optimum 28-30°C),,15.0,35.0,29.0,15,35,29
Labrys okinawensis,Islam-2007-Labrys okinawensis sp nov and Labry,28 | 15-32 °C,,15.0,32.0,28.0,15,32,28
Labrys portucalensis,"Carvalho-2008-Labrys portucalensis sp nov., a",16-37°C (optimum 28-32°C),,16.0,37.0,30.0,16,37,30
Labrys wisconsinensis,"Albert-2010-Labrys wisconsinensis sp nov., a b",32 | 10-40 °C,,10.0,40.0,32.0,10,40,32
Laceyella putida,Yoon-2005-Proposal of the genus Thermoactinomy,45-55°C | Growth at 55 and 30°C is variable,,45.0,55.0,,45,55,
Laceyella sacchari,Yoon-2005-Proposal of the genus Thermoactinomy,45-55°C | 55°C,,45.0,55.0,,45,55,
Laceyella sediminis,"Chen-2012-Laceyella sediminis sp nov., a therm",28-65 °C (optimum 55 °C),,28.0,65.0,55.0,28,65,55
Laceyella tengchongensis,Zhang-2010-Laceyella tengchongensis sp. nov,28-70°C (optimal at 55°C),,28.0,70.0,55.0,28,70,55
Lachnoanaerobaculum orale,"Hedberg-2012-Lachnoanaerobaculum gen. nov., a",37,,,,37.0,,,37
Lachnoanaerobaculum saburreum,"Hedberg-2012-Lachnoanaerobaculum gen. nov., a",37,,,,37.0,,,37
Lachnoanaerobaculum umeaense,"Hedberg-2012-Lachnoanaerobaculum gen. nov., a",37,,,,37.0,,,37
Lachnobacterium bovis,Whitford-2001-Lachnobacterium bovis gen. nov,"39 | 27-42°C (limited growth at 27°C, good growth at 39 and 42°C, no growth at 22 or 50°C)",,27.0,42.0,39.0,27,42,39
Lachnospira pectinoschiza,Cornick-1994-Lachnospira-Pectinoschiza Sp-Nov,39 | 30-45°C | 30 to 45°C,,30.0,45.0,39.0,30,45,39
Lachnotalea glycerini,Jarzembowska-2016-Lachnotalea glycerini gen. n,"30 °C (optimum), range 12-37 °C | 12-37°C, optimum 30°C",,12.0,37.0,30.0,12,37,30
Lacibacter cauensis,"Qu-2009-Lacibacter cauensis gen. nov., sp nov",20-37 °C (optimum 28-37 °C),,20.0,37.0,,20,37,
Lacibacter daechungensis,"Jin-2013-Lacibacter daechungensis sp nova, iso",15-37 °C | 15 to 37 °C (optimum 30 °C),,15.0,37.0,30.0,15,37,30
Lacibacter nakdongensis,"Han-2017-Lacibacter nakdongensis sp nov., isol",15-30°C (optimum 30°C) | 15-37°C (optimum 30°C),,15.0,"30.0, 37.0",30.0,15,37,30
Lacihabitans lacunae,"Kang-2017-Lacihabitans lacunae sp nov., isolat",20-30°C (optimum 25°C),,20.0,30.0,25.0,20,30,25
Lacihabitans lacunae sp. nov.,"Kang-2017-Lacihabitans lacunae sp nov., isolat",4-37°C (optimum 25°C),,4.0,37.0,25.0,4,37,25
Lacihabitans soyangensis,Joung-2014-Lacihabitans soyangensis gen. nov,20-30°C | 20-30 °C (optimum 25 °C),,20.0,30.0,25.0,20,30,25
Lacimicrobium alkaliphilum,Zhong-2016-Lacimicrobium alkaliphilum gen. nov,4-40°C (optimum 25-30°C),,4.0,40.0,,4,40,
Lacimonas salitolerans,"Zhong-2015-Lacimonas salitolerans gen. nov., s",10-35 °C (optimum 25 °C),,10.0,35.0,25.0,10,35,25
Lacinutrix copepodicola,Bowman-2005-Novel members of the family Flavob,"15-25°C (optimal), up to 22-20°C on MA, not at 30°C or higher | 1-25°C (good), no growth at 30°C or higher",,1.0,25.0,,1,25,
Lacinutrix gracilariae,"Huang-2016-Lacinutrix gracilariae sp nov., iso",5-40°C (optimal 28°C) | 5-35°C (optimal 28°C),,5.0,40.0,28.0,5,40,28
Lacticigenium naphtae,"Iino-2009-Lacticigenium naphtae gen. nov., sp","4-30 °C, optimum 30 °C | 30°C (optimum), does not grow at 35°C",,4.0,30.0,30.0,4,30,30
Lactobacillus acetotolerans,"Entani-1986-Lactobacillus-Acetotolerans, a New",23 to 40°C,,23.0,40.0,,23,40,
Lactobacillus acidifarinae,Vancanneyt-2005-Lactobacillus acidifarinae sp,15 °C but not at 45 °C,,15.0,45.0,,15,45,
Lactobacillus acidifarinae sp. nov.,Vancanneyt-2005-Lactobacillus acidifarinae sp,37,,,,37.0,,,37
